"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to update an existing booking","1168","updateBookingTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.UpdateBookingTests","Update and Delete Operations","tests.UpdateBookingTests","updateBookingTest"
"Test to create a new booking with dynamic data","404","createBookingTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.CreateBookingTests","Create Operations","tests.CreateBookingTests","createBookingTest"
"Test to verify the API's behavior when required fields are missing","397","createBookingWithMissingBookingDatesTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.CreateBookingTests","Create Operations","tests.CreateBookingTests","createBookingWithMissingBookingDatesTest"
"Test to retrieve all booking IDs from the API","587","getBookingIdsTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.GetBookingTests","Read Operations","tests.GetBookingTests","getBookingIdsTest"
"Test to retrieve details of a specific booking by its ID","3263","getBookingByIdTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.GetBookingTests","Read Operations","tests.GetBookingTests","getBookingByIdTest"
"Test attempting to delete a resource with no token","345","noTokenTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.NegativeAuthTests","Authentication Tests","tests.NegativeAuthTests","noTokenTest"
"Test to create an authentication token","384","createTokenTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.AuthTests","Authentication Tests","tests.AuthTests","createTokenTest"
"Test attempting to update a resource with an invalid token","346","invalidTokenTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.NegativeAuthTests","Authentication Tests","tests.NegativeAuthTests","invalidTokenTest"
"Test to delete an existing booking","1134","deleteBookingTest","API Test Suite","2026-07-28","passed","2026-07-28","tests.DeleteBookingTests","Update and Delete Operations","tests.DeleteBookingTests","deleteBookingTest"
